KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
EVTNAME452006;The End of the Dual Monarchy;La fin de la double monarchie;Das Ende der Doppelmonarchie;Koniec podwójnej monarchii;El fin de la monarquía dual;La fine della doppia monarchia;A kettõs monarchia vége;Konec dvojité monarchie;A kettõs monarchia vége;Het einde van de dubbele monarchie;O fim da monarquia dual;Êîíåö äâîéíîé ìîíàğõèè;Dual Monarchy lopussa;x
EVTDESC452006;After having been defeated in the war, the Austrian people can no longer claim the crown to the Hungarian lands. It is time for $CAPITAL$ to accept its reduction.;Après avoir été vaincu à la guerre, le peuple autrichien ne peut plus réclamer la couronne sur les terres hongroises. Il est temps que $CAPITAL$ accepte sa réduction.;Das österreichische Volk kann die Krone im ungarischen Land nicht mehr beanspruchen, nachdem es im Krieg besiegt wurde. Es ist an der Zeit, dass $CAPITAL$ die Reduzierung akzeptiert.;Po przegranej wojnie naród austriacki nie mo¿e ju¿ ubiegaæ siê o koronê na wêgierskie ziemie. Nadszed³ czas, aby $CAPITAL$ zaakceptowa³o jego obni¿kê.;Después de haber sido derrotado en la guerra, el pueblo austriaco ya no puede reclamar la corona a las tierras húngaras. Es hora de que $CAPITAL$ acepte su reducción.;Dopo essere stato sconfitto in guerra, il popolo austriaco non può più reclamare la corona delle terre ungheresi. È tempo che $CAPITAL$ accetti la sua perdita.;Miután a háborúban legyõzték, az osztrák nép már nem követeli a koronát a magyarországi földekre. Itt az ideje, hogy a $CAPITAL$ elfogadja a csökkentést.;Po poráce ve válce rakouskı národ ji nemùe nárokovat korunu na maïarskıch zemích. Je naèase, aby $CAPITAL$ pøijala sníení.;Miután a háborúban legyõzték, az osztrák nép már nem követeli a koronát a magyarországi földekre. Itt az ideje, hogy a $CAPITAL$ elfogadja a csökkentést.;Na in de oorlog verslagen te zijn, kan het Oostenrijkse volk niet langer de kroon op het Hongaarse land veroveren. Het is tijd voor $CAPITAL$ om de korting te accepteren.;Depois de ter sido derrotado na guerra, o povo austríaco não pode mais reivindicar a coroa às terras húngaras. É hora de $CAPITAL$ aceitar sua redução.;Ïîñëå ïîğàæåíèÿ íà âîéíå àâñòğèéñêèé íàğîä áîëüøå íå ìîæåò òğåáîâàòü êîğîíó âåíãåğñêèõ çåìåëü. Ïğèøëî âğåìÿ äëÿ $CAPITAL$ ïğèíÿòü åãî ñîêğàùåíèå.;Kun heidät on voitettu sodasta, itävaltalaiset eivät enää voi vaatia kruunua Unkarin maille. On aika, että $CAPITAL$ hyväksyy sen vähentämisen.;x
EVTOPTA452006;The Magyars are enemies again.;Les Magyars sont à nouveau des ennemis.;Die Magyaren sind wieder Feinde.;Madziarowie znów s¹ wrogami.;Los magiares son enemigos otra vez.;I Magiari sono di nuovo nemici.;A magyarok ismét ellenségek.;Maïaøi jsou opìt nepøátelé.;A magyarok ismét ellenségek.;De Magyaren zijn opnieuw vijanden.;Os magiares são inimigos novamente.;Ìàäüÿğû ñíîâà âğàãè.;Maan ystävät ovat jälleen vihollisia.;x
EVTNAME452007;The $MONARCHTITLE$ of the Somalians;Le $MONARCHTITLE$ des Somaliens;Die $MONARCHTITLE$ der Somalier;$MONARCHTITLE$ z Somalian;El $MONARCHTITLE$ de los somalíes;Il $MONARCHTITLE$ dei somali;A szomáliaiak $MONARCHTITLE$;$MONARCHTITLE$ Somálèanù;A szomáliaiak $MONARCHTITLE$;De $MONARCHTITLE$ van de Somaliërs;O $MONARCHTITLE$ dos somalianos;$MONARCHTITLE$ ñîìàëèéöåâ;Somalialaisten $MONARCHTITLE$;x
EVTDESC452007;$MONARCHTITLE$ Mohamud of $COUNTRY$ managed to unite all the Somali people under his reign. It is imperative the Western countries recognize this new country.;$MONARCHTITLE$ Mohamud de $COUNTRY$ a réussi à unir tous les Somaliens sous son règne. Il est impératif que les pays occidentaux reconnaissent ce nouveau pays.;$MONARCHTITLE$ Mohamud von $COUNTRY$ schaffte es, alle somalischen Leute unter seiner Regierung zu vereinen. Die westlichen Länder müssen dieses neue Land unbedingt anerkennen.;$MONARCHTITLE$ Mohamud z $COUNTRY$ zdo³a³ zjednoczyæ wszystkich Somalijczyków pod jego rz¹dami. Konieczne jest, aby kraje zachodnie uzna³y ten nowy kraj.;$MONARCHTITLE$ Mohamud de $COUNTRY$ logró unir a todos los somalíes bajo su reinado. Es imperativo que los países occidentales reconozcan a este nuevo país.;$MONARCHTITLE$ Mohamud di $COUNTRY$ è riuscito a riunire tutti i somali sotto il suo regno. È imperativo che i paesi occidentali riconoscano questo nuovo paese.;$MONARCHTITLE$ Mohamud a $COUNTRY$ból sikerült egyesíteni az összes szomáliai népet az uralkodása alatt. Elengedhetetlen, hogy a nyugati országok elismerjék ezt az új országot.;$MONARCHTITLE$ Mohamud z $COUNTRY$ se podaøilo sjednotit všechny somálské lidi za vlády. Je nezbytné, aby západní zemì uznaly tuto novou zemi.;$MONARCHTITLE$ Mohamud a $COUNTRY$ból sikerült egyesíteni az összes szomáliai népet az uralkodása alatt. Elengedhetetlen, hogy a nyugati országok elismerjék ezt az új országot.;$MONARCHTITLE$ Mohamud van $COUNTRY$ slaagde erin al het Somalische volk onder zijn bewind te verenigen. Het is absoluut noodzakelijk dat de westerse landen dit nieuwe land erkennen.;$MONARCHTITLE$ Mohamud de $COUNTRY$ conseguiu unir todas as pessoas somalis sob seu reinado. É imperativo que os países ocidentais reconheçam este novo país.;$MONARCHTITLE$ Ìîõàìóä èç $COUNTRY$ ñóìåë îáúåäèíèòü âñåõ ñîìàëèéöåâ ïîä åãî ïğàâëåíèåì. Êğàéíå âàæíî, ÷òîáû çàïàäíûå ñòğàíû ïğèçíàëè ıòó íîâóş ñòğàíó.;$MONARCHTITLE$ Mohamud $COUNTRY$ onnistui yhdistämään kaikki Somalian kansansa hänen hallituskautensa alla. On välttämätöntä, että länsimaat tunnustavat tämän uuden maan.;x
EVTOPTA452007;Go forward, and never backward;Avancer et jamais reculer;Vorwärts und nie rückwärts;IdŸ naprzód i nigdy do ty³u;Avanza, y nunca retrocede.;Avanti sempre, e mai indietro;Menj elõre, soha ne hátrálj;Jdìte vpøed a nikdy zpìt;Menj elõre, soha ne hátrálj;Ga vooruit en nooit achteruit;Vá em frente e nunca para trás;Èäèòå âïåğåä è íèêîãäà íå îòñòàâàéòå;Mene eteenpäin, ei koskaan taaksepäin;x
EVTNAME452008;Question of the Gypsies;La Question Gitane;Die Zigeuner-Frage;Pytanie Cyganów;Cuestión de los gitanos;La Questione degli Zingari;A cigányok kérdése;Otázka Cikánù;A cigányok kérdése;Vraag van de zigeuners;Pergunta dos ciganos;Âîïğîñ î öûãàíàõ;Kysymys romaneista;x
EVTDESC452008;After Nenemiah Mokkado published in 1837 the book "On the Gypsy populace", his fellow brethen started to ask for autonomy in $COUNTRY$. What shall our poor government do with these people, called scum of the Earth since time immemorial?;Après la publication par Nénémiah Mokkado en 1837 du livre "Sur la populace tzigane", ses compatriotes ont commencé à demander l'autonomie en $COUNTRY$. Que doit faire notre pauvre gouvernement avec ces personnes, appelées écume de la Terre depuis des temps immémoriaux?;Nachdem Nenemiah Mokkado 1837 das Buch "Über die Zigeuner-Bevölkerung" herausgegeben hatte, begann sein Kollege, in $COUNTRY$ nach Autonomie zu fragen. Was soll unsere arme Regierung mit diesen Menschen tun, die seit jeher als Abschaum der Erde bezeichnet werden?;Po tym, jak Nenemiah Mokkado opublikowa³ w 1837 roku ksi¹¿kê "O cygañskim spo³eczeñstwie", jego kole¿anka zaczê³a prosiæ o autonomiê w $COUNTRY$. Co nasz biedny rz¹d zrobi z tymi ludŸmi, zwany szumowin¹ Ziemi od niepamiêtnych czasów?;Después de que Nenemiah Mokkado publicara en 1837 el libro "Sobre la población gitana", sus hermanos comenzaron a pedir autonomía en $COUNTRY$. ¿Qué hará nuestro pobre gobierno con estas personas, llamadas escoria de la Tierra desde tiempos inmemoriales?;Dopo che Nenemiah Mokkado pubblicò nel 1837 il libro "Sul Popolo Zingaro", i suoi confratelli hanno iniziato a chiedere l'autonomia in $COUNTRY$. Cosa dovrà fare il nostro povero governo con queste persone, chiamate feccia della terra da tempo immemorabile?;Miután Nemmiah Mokkado 1837-ben megjelent "A cigány lakosságról" címû könyve, brethen fickója kezdett kérni autonómia a $COUNTRY$ban. Mit tehet a szegény kormányunk ezekkel az emberekkel, a Föld sörtõl idõk óta?;Poté, co Nenemiáš Mokkado publikoval v roce 1837 knihu "O cikánském obyvatelstvu", jeho kolega Brethen zaèal ádat o autonomii v $COUNTRY$. Co má naši chudá vláda s tìmito lidmi nazıvat spoustou zemì od nepamìti?;Miután Nemmiah Mokkado 1837-ben megjelent "A cigány lakosságról" címû könyve, brethen fickója kezdett kérni autonómia a $COUNTRY$ban. Mit tehet a szegény kormányunk ezekkel az emberekkel, a Föld sörtõl idõk óta?;Nadat Nenemiah Mokkado in 1837 het boek "Over de zigeunerbevolking" publiceerde, begon zijn medebroeders om autonomie te vragen in $COUNTRY$. Wat zal onze arme regering met deze mensen doen, al sinds mensenheugenis het tuig van de aarde genoemd?;Depois que Nenemiah Mokkado publicou em 1837 o livro "Sobre a população cigana", seus irmãos começaram a pedir autonomia em $COUNTRY$. O que nosso pobre governo fará com essas pessoas, chamado escória da Terra desde tempos imemoriais?;Ïîñëå òîãî, êàê Íåíåìà Ìîêêàäî îïóáëèêîâàëà â 1837 ãîäó êíèãó "Î öûãàíñêîì íàğîäå", åãî áğàò Áğåòåí íà÷àë ïğîñèòü àâòîíîìèş â $COUNTRY$. ×òî áóäåò äåëàòü íàøå áåäíîå ïğàâèòåëüñòâî ñ ıòèìè ëşäüìè, íàçûâàåìîå "îòáğîñàìè Çåìëè" ñ íåçàïàìÿòíûõ âğåìåí?;Sen jälkeen, kun Nemmiah Mokkado julkaisi vuonna 1837 kirjan "Tietoja Romaniväestöstä", hänen kollegansa alkoi pyytää autonomiaa $COUNTRY$. Mitä köyhä hallitusmme tekee näiden ihmisten kanssa, joita kutsutaan maapalloksi aina muina aikoina?;x
EVTOPTA452008;Gypsies are a part of $COUNTRY$;Les gitans font partie de $COUNTRY$;Zigeuner sind ein Teil von $COUNTRY$;Cyganie s¹ czêœci¹ $COUNTRY$;Los gitanos son parte de $COUNTRY$;Gli zingari fanno parte di $COUNTRY$;A cigányok $COUNTRY$ részét alkotják;Cikáni jsou souèástí $COUNTRY$;A cigányok $COUNTRY$ részét alkotják;Zigeuners maken deel uit van $COUNTRY$;Ciganos fazem parte do $COUNTRY$;Öûãàíå ÿâëÿşòñÿ ÷àñòüş $COUNTRY$;Cogit ovat osa $COUNTRY$;x
EVTOPTB452008;Scum they are and scum they remain;Écume ils sont et écume ils restent;Abschaum sind sie und Abschaum bleiben sie;S¹ ju¿ szumowin¹ i szumowin¹;Escoria son y escoria quedan;Sono feccia e feccia rimangono;A söpredék és a söpredék maradnak;Jsou to špína a špína zùstávají;A söpredék és a söpredék maradnak;Scum en dat zijn ze;Escória eles são e escória eles permanecem;Ñêóìû îíè è îòáğîñû îíè îñòàşòñÿ;Summa he ovat ja mätiä ne ovat;x
