KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
EVTNAME5000004;A Gypsy stronghold;Un Bastion Bohème;Eine Zigeunerhochburg;Cygañska twierdza;Una fortaleza gitana;Una roccaforte zingara;Cigány erõdítmény;Cikánská pevnost;Cigány erõdítmény;Een zigeunerbolwerk;Uma fortaleza cigana;Öûãàíñêàÿ êðåïîñòü;Gypsy linnoitus;x
EVTDESC5000004;$PROVINCENAME$ has recently been assimilated by the culture of the Gypsies to the point it is considered a core land of theirs.;$PROVINCENAME$ a récemment été assimilé par la culture des Tsiganes au point qu'il est considéré comme une terre de base pour eux.;$PROVINCENAME$ wurde kürzlich von der Kultur der Zigeuner so weit aufgenommen, dass sie als ihr Kernland gilt.;$PROVINCENAME$ zosta³a ostatnio zasymilowana przez kulturê Cyganów do tego stopnia, ¿e uwa¿ana jest za ich rdzeñ.;$PROVINCENAME$ ha sido asimilado recientemente por la cultura de los gitanos hasta el punto de que se considera una tierra central de ellos.;$PROVINCENAME$ è stato recentemente assimilato dalla cultura degli zingari al punto da essere considerato loro terra principale.;A $PROVINCENAME$-ot a cigányok kultúrája nemrégiben asszimilálta arra a pontra, hogy az övék alapterületének tekintik.;$PROVINCENAME$ byl nedávno asociován kulturou Cikánù do té míry, že je považován za jejich hlavní zemi.;A $PROVINCENAME$-ot a cigányok kultúrája nemrégiben asszimilálta arra a pontra, hogy az övék alapterületének tekintik.;$PROVINCENAME$ is recentelijk geassimileerd door de cultuur van de zigeuners tot het punt dat het wordt beschouwd als een kernland van hen.;$PROVINCENAME$ foi recentemente assimilado pela cultura dos ciganos a ponto de ser considerado uma terra central deles.;$PROVINCENAME$ íåäàâíî áûëà àññèìèëèðîâàíà êóëüòóðîé öûãàí äî òàêîé ñòåïåíè, ÷òî îíà ñ÷èòàåòñÿ èõ îñíîâíîé çåìëåé.;$PROVINCENAME$ on viime aikoina rinnastanut mustalaisten kulttuurin siihen pisteeseen, että sitä pidetään heidän ytimenä.;x
EVTOPTA5000004;But aren't the Gypsy nomads?;Mais les gitans ne sont-ils nomades?;Aber sind die Zigeuner nicht Nomaden?;Ale czy cygañscy koczownicy nie s¹?;¿Pero no son los gitanos nómadas?;Ma gli zingari non sono nomadi?;De nem a cigány nomádok?;Ale nejsou to cikánští koèovníci?;De nem a cigány nomádok?;Maar zijn het niet de zigeuner-nomaden?;Mas os nômades ciganos não são?;Íî ðàçâå íå öûãàíå-êî÷åâíèêè?;Mutta eikö romani-nomadit ole?;x
EVTNAME5000005;The Treaty of Farafra;Le traité de Farafra;Der Vertrag von Farafra;Traktat Farafra;El tratado de Farafra;Il trattato di Farafra;A Farafra Szerzõdés;Smlouva z Farafry;A Farafra Szerzõdés;Het Verdrag van Farafra;O Tratado de Farafra;Äîãîâîð Ôàðàôðà;Farafran sopimus;x
EVTDESC5000005;Since revising the land ownership in the area of Egypt we laid claim on the Western-most corner of the Egyptian Desert.;Depuis la révision de la propriété foncière dans la région de l'Égypte, nous avons revendiqué le coin le plus occidental du désert égyptien.;Seit der Überarbeitung des Landbesitzes in der Region Ägypten haben wir Anspruch auf die westlichste Ecke der ägyptischen Wüste erhoben.;Od czasu rewizji w³asnoœci gruntów w Egipcie zg³osiliœmy roszczenia w najbardziej wysuniêtym na zachód zak¹tku pustyni egipskiej.;Desde que revisamos la propiedad de la tierra en el área de Egipto, reclamamos el rincón más occidental del desierto egipcio.;Da quando abbiamo rivisto la proprietà terriera nell'area dell'Egitto, abbiamo rivendicato l'angolo più occidentale del deserto egiziano.;Azóta, hogy felülvizsgálták a földbirtokosságot Egyiptom területén, az Egyiptomi sivatag nyugati legszélesebb sarkán álltunk igénybe.;Od revize vlastnictví pùdy v oblasti Egypta jsme si nárokovali nejzápadnìjší roh egyptské pouštì.;Azóta, hogy felülvizsgálták a földbirtokosságot Egyiptom területén, az Egyiptomi sivatag nyugati legszélesebb sarkán álltunk igénybe.;Sinds de herziening van het landbezit in het gebied van Egypte hebben we aanspraak gemaakt op de meest westelijke hoek van de Egyptische woestijn.;Desde a revisão da propriedade da terra na área do Egito, reivindicamos o canto mais ocidental do deserto egípcio.;Ïîñëå ïåðåñìîòðà ïðàâà ñîáñòâåííîñòè íà çåìëþ â ðàéîíå Åãèïòà ìû ïðåòåíäîâàëè íà ñàìûé çàïàäíûé óãîë åãèïåòñêîé ïóñòûíè.;Tarkistettuaan maan omistusoikeutta Egyptin alueella, vaadimme Egyptin autiomaa-alueen länsipuolella olevaa nurkkaa.;x
EVTOPTA5000005;…But why?;…Mais pourquoi?;…Aber wieso?;…Ale dlaczego?;…¿Pero por qué?;…Ma perché?;…De miért?;…Ale proè?;…De miért?;…Maar waarom?;…Mas por que?;…Íî ïî÷åìó?;…Mutta miksi?;x
EVTNAME5000006;The Treaty of Mubarak al-Fezzani;Le traité de Moubarak al-Fezzani;Der Vertrag von Mubarak al-Fezzani;Traktat z Mubaraka al-Fezzani;El tratado de Mubarak al-Fezzani;Il trattato di Mubarak al-Fezzani;Mubarak al-Fezzani szerzõdés;Smlouva z Mubaraku al-Fezzani;Mubarak al-Fezzani szerzõdés;Het Verdrag van Mubarak al-Fezzani;O Tratado de Mubarak al-Fezzani;Ìóáàðàê àëü-Ôåööàíè;Mubarak al-Fezzanin sopimus;x
EVTDESC5000006;Since revising the land ownership in the area of Fezzan we laid claim on the Southern-most corner of the Fezzani Desert.;Depuis la révision de la propriété foncière dans la région du Fezzan, nous avons revendiqué le coin le plus au sud du désert du Fezzani.;Seit der Überarbeitung des Landbesitzes in der Gegend von Fezzan haben wir Anspruch auf die südlichste Ecke der Fezzani-Wüste erhoben.;Od czasu rewizji w³asnoœci ziemi w rejonie Fezzan, zg³osiliœmy roszczenia w najbardziej wysuniêtym na po³udnie zak¹tku pustyni Fezzani.;Desde que revisamos la propiedad de la tierra en el área de Fezzan, reclamamos el rincón más al sur del desierto de Fezzani.;Da quando abbiamo rivisto la proprietà terriera nell'area di Fezzan abbiamo rivendicato l'angolo più meridionale del deserto di Fezzani.;Mivel a földtulajdon felülvizsgálata alatt állt a Fezzan területén, a Fezzani-sivatag déli legszélesebb sarkán álltunk igénybe.;Od revize vlastnictví pùdy v oblasti Fezzanu jsme vznesli nárok na nejjižnìjší roh pouštì Fezzani.;Mivel a földtulajdon felülvizsgálata alatt állt a Fezzan területén, a Fezzani-sivatag déli legszélesebb sarkán álltunk igénybe.;Sinds de herziening van het landbezit in het gebied van Fezzan hebben we aanspraak gemaakt op de meest zuidelijke hoek van de Fezzani-woestijn.;Desde a revisão da propriedade da terra na área de Fezzan, reivindicamos o canto mais ao sul do deserto de Fezzani.;Ïîñëå ïåðåñìîòðà ïðàâà ñîáñòâåííîñòè íà çåìëþ â ðàéîíå Ôåööàíà ìû ïðåòåíäîâàëè íà ñàìûé þæíûé óãîë ïóñòûíè Ôåööàíè.;Koska Fezzanin alueen maanomistus oli tarkistettu, vaadimme Fezzanin autiomaa eteläisimmässä nurkassa.;x
EVTOPTA5000006;…But why?;…Mais pourquoi?;…Aber wieso?;…Ale dlaczego?;…¿Pero por qué?;…Ma perché?;…De miért?;…Ale proè?;…De miért?;…Maar waarom?;…Mas por que?;…Íî ïî÷åìó?;…Mutta miksi?;x
EVTNAME5000007;The Empire of Persia;L'Empire de Perse;Das Reich von Persien;Imperium Persji;El imperio de Persia;L'Impero di Persia;A Perzsa Birodalom;Øíše Persie;A Perzsa Birodalom;Het rijk van Perzië;O Império da Pérsia;Èìïåðèÿ Ïåðñèè;Persian valtakunta;x
